nombre;lat;lon;temp_max;temp_min;cielo
San Gabán;-13.461;-70.41;26;14.5;cubierto
Tambopata;-15.217;-69.157;Sin datos;Sin datos;Sin datos
Limbani;-14.14;-69.687;18.2;0.5;nubes dispersas
Cuyo Cuyo;-14.489;-69.55;14.6;1.2;nublado
Macusani;-14.067;-70.422;13.8;-2;cubierto
Crucero;-14.364;-70.026;14.7;-5.5;cubierto
Progreso;-14.672;-70.368;16.8;1.2;nublado parcial
Muñani;-14.767;-69.952;17.2;0.2;nubes dispersas
Putina;-14.921;-69.876;17.4;-4.5;nublado parcial
Azangaro;-14.917;-70.19;17.2;-2.1;despejado
Cojata ;-15.012;-69.361;11.5;-4;cubierto
Santa Rosa;-14.618;-70.793;17;-6.8;nublado parcial
Chuquibambilla;-14.788;-70.728;17.2;-6;nubes dispersas
Llally;-14.953;-70.881;16;-2.8;nubes dispersas
Ayaviri ;-14.869;-70.592;17.4;-7;despejado
Pucara;-15.046;-70.367;17.8;-4.8;nubes dispersas
Arapa;-15.179;-70.109;17;-0.4;nubes dispersas
Huancané;-15.207;-69.758;16.2;-3.6;nubes dispersas
Moho;-15.388;-69.484;15.8;-1.4;despejado
Taraco;-15.312;-69.972;15.8;-4.2;despejado
Capachica;-15.613;-69.842;15.4;-2.4;despejado
Isla Soto;-15.562;-69.489;13.2;2.2;nubes dispersas
Isla Taquile;-15.77;-69.691;13.8;2.5;despejado
Pampahuta;-15.484;-70.676;13;-6.6;nubes dispersas
Lampa;-15.361;-70.374;18;-5.8;despejado
Santa Lucia;-15.694;-70.599;15.8;-6;nubes dispersas
Juliaca;-15.444;-70.208;17.8;-6;nubes dispersas
Cabanillas ;-15.639;-70.347;18.2;1.6;nubes dispersas
Mañazo;-15.799;-70.34;17.8;0.2;despejado
Puno;-15.826;-70.012;17.3;0.8;despejado
Los Uros;-15.82;-69.974;16.6;0.5;nubes dispersas
Laraqueri;-16.136;-70.046;16;-9;nubes dispersas
Ichuña;-16.141;-70.543;19.8;-2.2;despejado
Acora;-15.99;-69.81;15.4;-1.8;nubes dispersas
Ilave;-16.06;-69.64;15.6;1;despejado
Juli ;-16.204;-69.46;14.5;0.8;despejado
Yunguyo;-16.308;-69.075;14.6;-1.2;nubes dispersas
Desaguadero;-16.563;-69.037;14.2;-5.4;despejado
Isla Suana;-16.33;-68.85;15.8;-1;despejado
Pizacoma;-16.904;-69.37;16.2;-9;despejado
Mazocruz;-16.739;-69.715;17;-10.8;despejado
Capazo;-17.183;-69.739;9.8;-10.4;despejado
